"nflId","height","weight","Position","displayName"
46298,"5-11",186,"K","Jason Sanders"
52596,"5-10",185,"K","Tyler Bass"
43689,"5-11",184,"K","Wil Lutz"
48337,"5-11",213,"K","Joey Slye"
32386,"6-1",207,"K","Mason Crosby"
41991,"5-8",160,"K","Cairo Santos"
47953,"5-9",214,"K","Austin Seibert"
39470,"6-1",183,"K","Justin Tucker"
41688,"6-0",190,"K","Cody Parkey"
48329,"6-0",179,"K","Matthew Wright"
31446,"5-10",201,"K","Matt Prater"
38134,"6-0",190,"K","Dan Bailey"
45046,"6-4",205,"K","Harrison Butker"
46342,"5-10",183,"K","Michael Badgley"
48488,"5-11",187,"K","Chase McLaughlin"
32371,"6-1",222,"K","Nick Folk"
38701,"6-0",191,"K","Greg Zuerlein"
35102,"6-2",202,"K","Graham Gano"
40125,"6-2",203,"K","Dustin Hopkins"
44966,"5-9",167,"K","Jake Elliott"
45576,"5-10",195,"K","Younghoe Koo"
34707,"6-2",218,"K","Ryan Succop"
40276,"6-3",201,"K","Brandon McManus"
46236,"6-5",215,"K","Daniel Carlson"
52656,"5-8",205,"K","Sam Sloman"
43846,"6-0",183,"K","Ka'imi Fairbairn"
52751,"6-1",191,"K","Rodrigo Blankenship"
43937,"6-3",221,"K","Aldrick Rosas"
47928,"6-0",232,"K","Matt Gay"
29874,"5-10",190,"K","Mike Nugent"
41175,"5-10",190,"K","Jason Myers"
47590,"6-2",205,"K","Tristan Vizcaino"
30403,"6-0",190,"K","Robbie Gould"
44240,"6-1",192,"K","Sam Ficken"
30932,"6-1",215,"K","Stephen Gostkowski"
41112,"5-11",160,"K","Taylor Russolino"
41953,"6-2",185,"K","Chris Boswell"
42112,"5-11",195,"K","Sergio Castillo"
38691,"5-9",210,"K","Randy Bullock"
45037,"6-0",202,"K","Zane Gonzalez"
38220,"5-11",197,"K","Kai Forbath"
43068,"6-0",215,"K","Josh Lambo"
43902,"5-10",202,"K","Jon Brown"
33469,"76",210,"K","Stephen Hauschka"
47423,"6-0",170,"K","Elliott Fry"
46634,"6-0",210,"K","Greg Joseph"
46426,"5-11",178,"K","Eddy Pineiro"
40775,"6-1",185,"K","Brett Maher"
21213,"72",212,"K","Adam Vinatieri"
27091,"5-9",203,"K","Matt Bryant"
46455,"6-3",210,"K","Kaare Vedvik"
41736,"75",200,"K","Chandler Catanzaro"
46663,"5-10",165,"K","Matthew McCrane"
25326,"6-1",258,"K","Sebastian Janikowski"
23860,"5-11",200,"K","Phil Dawson"
38851,"5-10",182,"K","Giorgio Tavecchio"
40114,"5-9",192,"K","Caleb Sturgis"
